2023-12-03 01:38:22 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2023-12-03 01:38:22 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2023-12-03 01:38:22 status unpacked debianutils:amd64 5.7-0.5~deb12u1
2023-12-03 01:38:22 install diffutils:amd64 <none> 1:3.8-4
2023-12-03 01:38:22 status half-installed diffutils:amd64 1:3.8-4
2023-12-03 01:38:23 status unpacked diffutils:amd64 1:3.8-4
2023-12-03 01:38:23 upgrade dpkg:amd64 1.21.22 1.21.22
2023-12-03 01:38:23 status half-configured dpkg:amd64 1.21.22
2023-12-03 01:38:23 status unpacked dpkg:amd64 1.21.22
2023-12-03 01:38:23 status half-installed dpkg:amd64 1.21.22
2023-12-03 01:38:23 status unpacked dpkg:amd64 1.21.22
2023-12-03 01:38:23 install e2fsprogs:amd64 <none> 1.47.0-2
2023-12-03 01:38:23 status half-installed e2fsprogs:amd64 1.47.0-2
2023-12-03 01:38:23 status unpacked e2fsprogs:amd64 1.47.0-2
2023-12-03 01:38:24 install libcom-err2:amd64 <none> 1.47.0-2
2023-12-03 01:38:24 status half-installed libcom-err2:amd64 1.47.0-2
2023-12-03 01:38:24 status unpacked libcom-err2:amd64 1.47.0-2
2023-12-03 01:38:24 install libext2fs2:amd64 <none> 1.47.0-2
2023-12-03 01:38:24 status half-installed libext2fs2:amd64 1.47.0-2
2023-12-03 01:38:24 status unpacked libext2fs2:amd64 1.47.0-2
2023-12-03 01:38:24 install libss2:amd64 <none> 1.47.0-2
2023-12-03 01:38:24 status half-installed libss2:amd64 1.47.0-2
2023-12-03 01:38:24 status unpacked libss2:amd64 1.47.0-2
2023-12-03 01:38:24 install logsave:amd64 <none> 1.47.0-2
2023-12-03 01:38:24 status half-installed logsave:amd64 1.47.0-2
2023-12-03 01:38:24 status unpacked logsave:amd64 1.47.0-2
2023-12-03 01:38:24 install findutils:amd64 <none> 4.9.0-4
2023-12-03 01:38:24 status half-installed findutils:amd64 4.9.0-4
2023-12-03 01:38:24 status unpacked findutils:amd64 4.9.0-4
2023-12-03 01:38:24 install gcc-12-base:amd64 <none> 12.2.0-14
2023-12-03 01:38:24 status half-installed gcc-12-base:amd64 12.2.0-14
2023-12-03 01:38:24 status unpacked gcc-12-base:amd64 12.2.0-14
2023-12-03 01:38:24 install libgcc-s1:amd64 <none> 12.2.0-14
2023-12-03 01:38:24 status half-installed libgcc-s1:amd64 12.2.0-14
2023-12-03 01:38:24 status unpacked libgcc-s1:amd64 12.2.0-14
2023-12-03 01:38:24 install libstdc++6:amd64 <none> 12.2.0-14
2023-12-03 01:38:24 status half-installed libstdc++6:amd64 12.2.0-14
2023-12-03 01:38:24 status unpacked libstdc++6:amd64 12.2.0-14
2023-12-03 01:38:24 install libgdbm-compat4:amd64 <none> 1.23-3
2023-12-03 01:38:24 status half-installed libgdbm-compat4:amd64 1.23-3
2023-12-03 01:38:24 status unpacked libgdbm-compat4:amd64 1.23-3
2023-12-03 01:38:25 install libgdbm6:amd64 <none> 1.23-3
2023-12-03 01:38:25 status half-installed libgdbm6:amd64 1.23-3
2023-12-03 01:38:25 status unpacked libgdbm6:amd64 1.23-3
2023-12-03 01:38:25 install libc-bin:amd64 <none> 2.36-9+deb12u2
2023-12-03 01:38:25 status half-installed libc-bin:amd64 2.36-9+deb12u2
2023-12-03 01:38:25 status unpacked libc-bin:amd64 2.36-9+deb12u2
2023-12-03 01:38:25 upgrade libc6:amd64 2.36-9+deb12u2 2.36-9+deb12u2
2023-12-03 01:38:25 status half-configured libc6:amd64 2.36-9+deb12u2
